url,title,price,price_member,color
https://ao.com/product/biwmil71252ukn-indesit-washing-machine-white-77058-1.aspx,Indesit BIWMIL71252UKN Integrated 7kg Washing Machine with 1200 rpm - White - E Rated,£329,,white
https://ao.com/product/hbws48d1w4-hoover-hwash-300-washing-machine-white-95741-1.aspx,Hoover H-WASH 300 HBWS48D1W4 Integrated 8kg Washing Machine with 1400 rpm - White - B Rated,£429,,white
https://ao.com/product/lf7c8636bi-aeg-prosteam-technology-washing-machine-white-97195-1.aspx,AEG ProSteam® Technology LF7C8636BI Integrated 8kg Washing Machine with 1600 rpm - White - B Rated,£819,,white
https://ao.com/product/bctdh7a1te-candy-heat-pump-tumble-dryer-white-81613-126.aspx,Candy BCTDH7A1TE Integrated Wifi Connected 7Kg Heat Pump Tumble Dryer - White - A+ Rated,£529,,white
https://ao.com/product/hdbih7a2tbex-haier-series-4-heat-pump-tumble-dryer-white-95780-126.aspx,Haier Series 4 HDBIH7A2TBEX Integrated 7Kg Heat Pump Tumble Dryer - White - A++  Rated,£749,,white
https://ao.com/product/hbws49d1ace-hoover-hwash-300-lite-washing-machine-white-79122-1.aspx,Hoover H-WASH 300 LITE HBWS49D1ACE Integrated 9kg Washing Machine with 1400 rpm - White / Chrome - C Rated,£519,,white
https://ao.com/product/hbwos69tame-hoover-hwash-300-pro-washing-machine-white-95234-1.aspx,Hoover H-WASH 300 PRO HBWOS69TAME Integrated 9kg Washing Machine with 1600 rpm - White - A Rated,£549,,white
https://ao.com/product/sms2iti41g-bosch-series-2-standard-dishwasher-stainless-steel-83364-23.aspx,Bosch Series 2 SMS2ITI41G Wifi Connected Standard Dishwasher - Stainless Steel Effect - E Rated,£449,,steel
https://ao.com/product/dtikp81131w-beko-heat-pump-tumble-dryer-white-97819-126.aspx,Beko DTIKP81131W Integrated 8Kg Heat Pump Tumble Dryer - White - A++ Rated,£529,,white
https://ao.com/product/sms4hki00g-bosch-series-4-standard-dishwasher-silver-inox-97124-23.aspx,Bosch Series 4 SMS4HKI00G Standard Dishwasher - Silver Inox - D Rated,£529,,inox
https://ao.com/product/d2fhk26uk-indesit-standard-dishwasher-white-97311-23.aspx,Indesit D2FHK26UK Standard Dishwasher - White - E Rated,£289,£279,white
https://ao.com/product/bdfn15430w-beko-standard-dishwasher-white-86298-23.aspx,Beko BDFN15430W Standard Dishwasher - White - D Rated,£379,£364,white
https://ao.com/product/sms2hvw66g-bosch-series-2-standard-dishwasher-white-83287-23.aspx,Bosch Series 2 SMS2HVW66G Wifi Connected Standard Dishwasher - White - E Rated,£499,£484,white
https://ao.com/product/dvn04x20w-beko-standard-dishwasher-white-93709-23.aspx,Beko DVN04X20W Standard Dishwasher - White - E Rated,£269,£259,white
https://ao.com/product/sms6zcw00g-bosch-series-6-standard-dishwasher-white-83357-23.aspx,Bosch Series 6 SMS6ZCW00G Wifi Connected Standard Dishwasher - White - C Rated,£729,£709,white
https://ao.com/product/sms4hmw00g-bosch-series-4-standard-dishwasher-white-96536-23.aspx,Bosch Series 4 SMS4HMW00G Wifi Connected Standard Dishwasher - White - D Rated,£549,,white
https://ao.com/product/g5740sc-miele-slimline-dishwasher-white-99037-24.aspx,Miele G5740SC Slimline Dishwasher - White - C Rated,£969,,white
https://ao.com/product/g7422sc-miele-standard-dishwasher-white-92029-23.aspx,Miele G7422SC Wifi Connected Standard Dishwasher - White - A Rated,"£1,769",,white
https://ao.com/product/bdfn15430g-beko-standard-dishwasher-silver-86299-23.aspx,Beko BDFN15430G Standard Dishwasher - Graphite - D Rated,£389,£374,silver
https://ao.com/product/dw60a8060fs-samsung-series-11-standard-dishwasher-stainless-steel-89248-23.aspx,Samsung Series 11 DW60A8060FS Wifi Connected Standard Dishwasher - Stainless Steel - B Rated,£689,,steel
https://ao.com/product/g5132sc-miele-standard-dishwasher-white-97253-23.aspx,Miele G5132 SC Standard Dishwasher - White - D Rated,£729,,white
https://ao.com/product/sms2itw41g-bosch-series-2-standard-dishwasher-white-83365-23.aspx,Bosch Series 2 SMS2ITW41G Wifi Connected Standard Dishwasher - White - E Rated,£429,,white
https://ao.com/product/sps4hki45g-bosch-series-4-slimline-dishwasher-silver-75783-24.aspx,Bosch Series 4 SPS4HKI45G Wifi Connected Slimline Dishwasher - Silver - E Rated,£499,,silver
https://ao.com/product/c1745be-electra-slimline-dishwasher-black-83390-24.aspx,Electra C1745BE Slimline Dishwasher - Black - E Rated,£239,,black
https://ao.com/product/dsfe1b10ukn-indesit-slimline-dishwasher-white-80897-24.aspx,Indesit DSFE1B10UKN Slimline Dishwasher - White - F Rated,£279,,white
https://ao.com/product/sps4hkw45g-bosch-series-4-slimline-dishwasher-white-75784-24.aspx,Bosch Series 4 SPS4HKW45G Wifi Connected Slimline Dishwasher - White - E Rated,£479,,white
https://ao.com/product/g7110sc-miele-standard-dishwasher-stainless-steel-92031-23.aspx,Miele G7110SC Wifi Connected Standard Dishwasher - Clean Steel - B Rated,"£1,276",,steel
https://ao.com/product/hs523e15xuk-hisense-slimline-dishwasher-stainless-steel-97082-24.aspx,Hisense HS523E15XUK Slimline Dishwasher - Stainless Steel - E Rated,£299,£289,steel
https://ao.com/product/sps2ikw04g-bosch-series-2-slimline-dishwasher-white-76279-24.aspx,Bosch Series 2 SPS2IKW04G Wifi Connected Slimline Dishwasher - White - F Rated,£449,£434,white
https://ao.com/product/qwns1cf49ewen-sharp-slimline-dishwasher-white-80109-24.aspx,Sharp QW-NS1CF49EW-EN Slimline Dishwasher - White - E Rated,£279,,white
https://ao.com/product/hsfe1b19sukn-hotpoint-slimline-dishwasher-silver-80430-24.aspx,Hotpoint HSFE1B19SUKN Slimline Dishwasher - Silver - F Rated,£339,,silver
https://ao.com/product/h2fhl626xuk-hotpoint-standard-dishwasher-stainless-steel-97314-23.aspx,Hotpoint H2FHL626XUK Standard Dishwasher - Stainless Steel - E Rated,£339,,steel
